"namekey";"personalname";"gender";"ethnicity";"class";"personkey";"inscriptionkey";"corpusidnumber";"corpusname";"corpusidnumeric";"comment";"ethnicname";"groupnamecategory";"origin"
456;"Diogenes";"Male";"Greek";"Parent name";15412;14841;"320";"IK Byzantion";95320;"";"Kallichoriteus";"Other";"Greek"
1645;"Theofilos";"Male";"Greek";"Personal name";15412;14841;"320";"IK Byzantion";95320;"";"Kallichoriteus";"Other";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";15412;14841;"320";"IK Byzantion";95320;"";"Kallichoriteus";"Other";"Greek"
340;"Chrysion";"Male";"Greek";"Personal name";15465;14869;"348";"IK Byzantion";95348;"";"Herakleotes";"City";"Greek"
15464;"Krateros";"Male";"Greek";"Partner name";15465;14869;"348";"IK Byzantion";95348;"";"Herakleotes";"City";"Greek"
568;"Epikrates";"Male";"Greek";"Parent name";15465;14869;"348";"IK Byzantion";95348;"";"Herakleotes";"City";"Greek"
2458;"Ioulios";"Male";"Roman";"Personal name";15471;14873;"352";"IK Byzantion";95352;"";"Byzantios";"City";"Greek"
2173;"Gaios";"Male";"Roman";"Personal name";15471;14873;"352";"IK Byzantion";95352;"";"Byzantios";"City";"Greek"
683;"Filippos";"Male";"Greek";"Personal name";15518;14899;"378";"IK Byzantion";95378;"";"Dionysias";"Other";"Greek"
1762;"Zopyros";"Male";"Greek";"Parent name";15518;14899;"378";"IK Byzantion";95378;"";"Dionysias";"Other";"Greek"
15641;"Parthenios";"Male";"Greek";"Personal name";15642;15626;"Gyuzelev 2013 15";"Other";100055;"";"Kyzikenos";"City";"Greek"
1150;"Metrodoros";"Male";"Greek";"Parent name";15642;15626;"Gyuzelev 2013 15";"Other";100055;"";"Kyzikenos";"City";"Greek"
1196;"Moukianos";"Male";"Thracian";"Parent name";16053;16033;"SEG 58:679";"Other";100268;"";"Rodopes";"Region";"Thracian"
816;"Hermogenes";"Male";"Greek";"Personal name";16053;16033;"SEG 58:679";"Other";100268;"";"Rodopes";"Region";"Thracian"
449;"Diodoros";"Male";"Greek";"Parent name";16076;16071;"SEG 58:686";"Other";100271;"";"Rodios/Rhodios";"City";"Greek"
16075;"Astragalos";"Male";"Greek";"Personal name";16076;16071;"SEG 58:686";"Other";100271;"";"Rodios/Rhodios";"City";"Greek"
2241;"Maximos";"Male";"Roman";"Personal name";16158;16152;"SEG 57:635";"Other";100302;"";"Apameias";"City";"Greek"
16231;"Theon";"Male";"Greek";"Personal name";16232;16230;"SEG 51:914";"Other";100338;"";"Herakleiotes";"City";"Greek"
12287;"Aristandros";"Male";"Greek";"Parent name";16232;16230;"SEG 51:914";"Other";100338;"";"Herakleiotes";"City";"Greek"
2173;"Gaios";"Male";"Roman";"Personal name";16307;16306;"Manov 2008 129";"Other";100144;"";"Skotoussaios Herakleotes";"City";"Thracian"
3713;"Oulpia";"Female";"Roman";"Grandparent name";16307;16306;"Manov 2008 129";"Other";100144;"";"Skotoussaios Herakleotes";"City";"Thracian"
2175;"Loukios";"Male";"Roman";"Parent name";16307;16306;"Manov 2008 129";"Other";100144;"";"Skotoussaios Herakleotes";"City";"Thracian"
562;"Epagathos";"Male";"Greek";"Personal name";16508;16501;"SEG 52:708";"Other";100378;"";"Kappadox";"Region";""
16506;"Kreispeinos";"Male";"Roman";"Personal name";16508;16501;"SEG 52:708";"Other";100378;"";"Kappadox";"Region";""
2175;"Loukios";"Male";"Roman";"Personal name";16508;16501;"SEG 52:708";"Other";100378;"";"Kappadox";"Region";""
228;"Athenodoros";"Male";"Greek";"Personal name";16537;16536;"SEG 49:865";"Other";100386;"";"Perinthioi";"City";"Greek"
140;"Apollonides";"Male";"Greek";"Parent name";16537;16536;"SEG 49:865";"Other";100386;"";"Perinthioi";"City";"Greek"
1476;"Seuthes";"Male";"Thracian";"Parent name";16552;16543;"SEG 49:884";"Other";100392;"";"Prianeus";"City";"Greek"
8183;"Hebryzelmis";"Male";"Thracian";"Personal name";16552;16543;"SEG 49:884";"Other";100392;"";"Prianeus";"City";"Greek"
213;"Asklepiodoros";"Male";"Greek";"Personal name";16609;9729;"2056";"IG Bulg 4";62056;"";"Herakleotes";"City";"Greek"
