"namekey";"personalname";"gender";"ethnicity";"class";"personkey";"inscriptionkey";"corpusidnumber";"corpusname";"corpusidnumeric";"comment";"ethnicname";"groupnamecategory";"origin"
438;"Dilaes/Dilles";"Male";"Thracian";"Personal name";9128;9126;"1955|5680";"IG Bulg 4";61955;"";"Neikaios";"City";"Greek"
177;"Aristokrates";"Male";"Greek";"Parent name";9130;9129;"1956";"IG Bulg 4";61956;"";"Neikaios";"City";"Greek"
177;"Aristokrates";"Male";"Greek";"Personal name";9130;9129;"1956";"IG Bulg 4";61956;"";"Neikaios";"City";"Greek"
2287;"Dionysios";"Male";"Greek";"Personal name";9496;9493;"1067";"IG Bulg 3,1";41067;"";"Apolloniates";"City";"Greek"
9495;"Diotrefes";"Male";"Greek";"Personal name";9496;9493;"1067";"IG Bulg 3,1";41067;"";"Apolloniates";"City";"Greek"
1757;"Zoilos";"Male";"Greek";"Personal name";9619;9618;"1008";"IG Bulg 3,1";41008;"";"Neikomedoi";"City";"Greek"
2176;"Markos";"Male";"Roman";"Parent name";9619;9618;"1008";"IG Bulg 3,1";41008;"";"Neikomedoi";"City";"Greek"
1611;"Telesforos";"Male";"Greek";"Personal name";9621;9620;"1009";"IG Bulg 3,1";41009;"";"Neikomedoi";"City";"Greek"
1150;"Metrodoros";"Male";"Greek";"Parent name";9621;9620;"1009";"IG Bulg 3,1";41009;"";"Neikomedoi";"City";"Greek"
2181;"Ailios";"Male";"Roman";"Personal name";9629;9627;"1013";"IG Bulg 3,1";41013;"ho Thyateirenos";"Sardianoi";"City";"Uncertain"
4580;"Epafrodeitos";"Male";"Greek";"Personal name";9629;9627;"1013";"IG Bulg 3,1";41013;"ho Thyateirenos";"Sardianoi";"City";"Uncertain"
922;"Kardenthes";"Male";"Thracian";"Parent name";10149;10146;"1420|5523";"IG Bulg 3,1";41420;"";"Assyrios";"Region";""
2234;"Klaudianos";"Male";"Roman";"Personal name";10149;10146;"1420|5523";"IG Bulg 3,1";41420;"";"Assyrios";"Region";""
